,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
87,452663,True,0.08333333333333333,0.2886751345948129,1.0,0.0,38400,webmail.co.za,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
88,455683,True,0.08333333333333333,0.2886751345948129,1.0,0.0,48209,cldmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
89,468919,True,0.08333333333333333,0.2886751345948129,1.0,0.0,575432,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
90,477587,True,0.25,0.4522670168666454,1.0,0.0,602112,web.de,0.0,0.0,0.0,100.0,1.49254507328015,1.4142135623730951,0.19742307588987645,100.0
91,488638,True,0.08333333333333333,0.2886751345948129,1.0,0.0,434330,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
92,491662,True,0.08333333333333333,0.2886751345948129,1.0,0.0,663778,abv.bg,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
93,494956,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2946256,vnn.vn,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
94,498519,True,0.08333333333333333,0.2886751345948129,1.0,0.0,220454,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
95,498966,True,0.08333333333333333,0.2886751345948129,1.0,0.0,508928,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
96,500051,True,0.16666666666666666,0.38924947208076144,1.0,0.0,4805120,attachmail.ru,0.0,0.0,0.0,100.0,0.13333333333333333,0.0,0.33993463423951903,100.0
97,504615,True,0.08333333333333333,0.2886751345948129,1.0,0.0,489472,cldmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
98,506143,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
99,510428,True,0.08333333333333333,0.2886751345948129,1.0,0.0,75776,spray.se,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
