,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size,WebFileUrlDomain
95,1412712,TRUE,FALSE,[4 6 0 0 2 2 5 7 7 2 5 0],,3.333333333,2.674231694,15695867,cldmail.ru
96,1437276,TRUE,FALSE,[0 0 0 0 0 0 0 0 0 2 0 0],,0.166666667,0.577350269,26382,rambler.ru
97,1466152,TRUE,FALSE,[5 2 0 0 4 2 8 5 3 3 0 0],,2.666666667,2.534608929,2335134,cldmail.ru
98,1529814,TRUE,FALSE,[  0   0   0   0   3   0   5   4   4  86 398   0],,41.66666667,114.8250316,3907368,live.com
99,1535792,TRUE,FALSE,[1 0 0 0 2 0 7 2 1 2 1 0],,1.333333333,1.969463856,201046,yandex.ru
100,1540468,TRUE,FALSE,[8 3 5 0 0 0 1 7 3 0 1 0],,2.333333333,2.902454552,1841664,cldmail.ru
101,1545647,TRUE,FALSE,[ 0  0 24  0  0  0  0  0  0  0  0  0],,2,6.92820323,329509,yandex.ru
102,1552242,TRUE,FALSE,[13  1  2  0  0  0  4 12  7  0  0  0],,3.25,4.826536496,15869840,cldmail.ru
103,1564183,TRUE,FALSE,[1 0 1 0 1 0 4 4 2 1 1 0],,1.25,1.422226168,1034871,centrum.cz
104,1588735,TRUE,FALSE,[0 1 0 0 1 1 2 2 5 4 0 0],,1.333333333,1.66969422,366754,yandex.ru
105,1596194,TRUE,FALSE,[2 4 0 0 1 0 3 2 4 0 2 0],,1.5,1.566698904,12058667,cldmail.ru
106,1610797,TRUE,FALSE,[4 0 1 0 0 0 0 5 4 0 1 0],,1.25,1.912875038,511488,cldmail.ru
107,1613091,TRUE,FALSE,[6 2 2 0 0 0 3 8 5 0 2 0],,2.333333333,2.708012802,323584,yandex.ru
108,1615298,TRUE,FALSE,[6 5 2 0 6 2 3 2 3 2 2 0],,2.75,2.00567377,104468,yandex.ru
109,1623112,TRUE,FALSE,[3 1 0 1 0 1 0 4 1 0 0 0],,0.916666667,1.311372171,4200896,free.fr
110,1630142,TRUE,FALSE,[1 4 0 0 0 2 2 3 2 2 1 0],,1.416666667,1.311372171,6584,yandex.ru
111,1690621,TRUE,FALSE,[ 0  0  0  0  1  0  3  4  3  8 29  0],,4,8.246211251,5531960,live.com
112,1698905,TRUE,FALSE,[2 1 0 0 0 1 1 2 3 2 0 0],,1,1.044465936,1200075,cldmail.ru
113,1718043,TRUE,FALSE,[1 0 0 1 2 1 5 1 1 0 0 0],,1,1.414213562,43808,yandex.ru
114,1726981,TRUE,FALSE,[0 3 1 0 0 3 4 1 0 6 0 0],,1.5,2.022599587,2083757,cldmail.ru
115,1740240,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  0 35 11  0],,3.833333333,10.31180553,3812664,live.com
116,1771179,TRUE,FALSE,[3 1 1 0 0 0 3 3 1 1 0 0],,1.083333333,1.240112409,5996433,cldmail.ru
117,1806693,TRUE,FALSE,[3 4 0 0 1 3 3 1 1 1 0 0],,1.416666667,1.443375673,11114,yandex.ru
118,1811189,TRUE,FALSE,[49  4  6  3 14  7 87 64 42 40  5  0],,26.75,28.87945164,17131376,cldmail.ru
